Year,oil_brent,oil_dubai,coffee_arabica,coffee_robustas,tea_columbo,tea_kolkata,tea_mombasa,sugar_eu,sugar_us,sugar_world
2005,54.434130411255005,49.29415891053333,2.5321714165,1.1145088973333335,1.8429193087750002,1.6208221851933333,1.4775,0.6654220454641667,0.4692652863883333,0.21792668699999998
2006,65.39138122067332,61.4308120036575,2.522103651833333,1.4893126691666667,1.9097188060425,1.7542069821766668,1.952305555555,0.6456411887433333,0.48764577778,0.32587239068833335
2007,72.6961705259525,68.36905389915833,2.723697779,1.9091825481666669,2.522122118685,1.921237406725,1.6649444444441668,0.680912985715,0.45774555260166666,0.22215220866666666
2008,97.63648418188085,93.77713346607834,3.0815994641666666,2.320913705,2.7892555504333334,2.2545679905775002,2.2175972222225,0.6969269684383333,0.4685823014216666,0.2821362445
2009,61.862206890332494,61.75491975657167,3.1711428612416666,1.6441615036000001,3.1372094487458333,2.5152748941933334,2.5195555555558333,0.5243518825933333,0.5487512153458334,0.400028299
2010,79.63562997992334,78.06115481941667,4.320099864666667,1.7359361598333332,3.2896454696175,2.8051186664991667,2.5600416666666668,0.441791455505,0.79248467006,0.4693468963333333
2011,110.93992536388834,106.03393828554749,5.976136921333333,2.4075920146666667,3.2641363781824997,2.778551857065,2.718958333333333,0.4546172111508333,0.8391566633775001,0.5731644563333333
2012,111.96555833960834,108.90444988418083,4.11095705617,2.2668286252175,3.0626097890349997,2.7502350675041662,2.880513888889167,0.42013525049666667,0.6356395952525,0.4749454142066667
2013,108.85637454514166,105.43335233546499,3.0759897956783333,2.0758544659808336,3.453054578929167,2.7340973393691663,2.3988333333333336,0.43382928582999997,0.45050058380083335,0.3900447069325
2014,98.9375,96.65499999999999,4.423790492,2.2164514606666668,3.5354067451108335,2.5809714565166666,2.0450555555558334,0.4340123199416666,0.5325075891666667,0.3749874901666667
2015,52.370000000000005,51.17916666666667,3.5260692279999994,1.9411679099999999,2.975,2.3917681377,2.9646805555558333,0.36255507600000003,0.5467825036666666,0.29626418433333335
2016,44.04749999999999,41.200833333333335,3.6110757008333336,1.9531279735,3.301666666666667,2.331731444605,2.4214027777775002,0.36146110000000004,0.609246737,0.3980625128333333
2017,54.392500000000005,53.115833333333335,3.3232074443333333,2.225527146333333,4.051666666666667,2.4232155053316666,2.9705555555558334,0.3687542733333333,0.6155482758333334,0.3531250085
2018,71.07166666666667,69.15166666666666,2.925971664,1.8692605543333334,3.605,2.3587885666616666,2.578625,0.3858524106666667,0.5592569785,0.2756142436666667
2019,64.03166666666667,63.1775,2.879766503166667,1.6217735875,3.1008333333333336,2.376399682848333,2.211208333333333,0.36566828133333334,0.5767285919999999,0.2800234836666667
2020,42.300000000000004,42.165,3.3236299965,1.5158783401666664,3.404166666666667,2.6862754892125,2.0074583333333336,0.372711092,0.5946595013333333,0.2831283235
2021,70.44333333333333,68.80499999999999,4.511938548333333,1.9811817630000002,3.125833333333333,2.8308743579083333,2.1117500000000002,0.386475596,0.7401460495,0.389556354
2022,99.82416666666667,97.04916666666666,5.6304341335,2.2851070018333335,3.870935086263333,2.8349883531074997,2.447777777778333,0.34423506,0.7877290978333334,0.40783632816666665
